Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-16,RB Leipzig,1.0,4.0,0,2.0,2.0,1.4,2.2,2.4,1.8,7.0,1575.1807677496836
2026-05-16,Hoffenheim,0.0,4.0,0,2.0,1.6,1.4,1.8,2.2,2.0,7.0,1539.192343596498
2026-05-16,Leverkusen,1.0,1.0,1,1.8,1.8,1.4,1.6,1.8,1.4,7.0,1587.3874407412927
2026-05-16,Werder Bremen,0.0,2.0,0,1.2,1.0,1.8,1.6,0.8,0.8,7.0,1462.0060938244883
2026-05-16,Augsburg,0.0,4.0,0,2.2,1.8,1.2,1.6,2.2,2.0,7.0,1501.4894193992957
2026-05-16,Wolfsburg,3.0,1.0,3,0.8,1.2,1.0,0.8,1.0,1.6,7.0,1448.4678734933111
2026-05-16,M'gladbach,4.0,0.0,3,0.6,1.4,1.0,0.8,1.0,1.6,7.0,1487.1400366966611
2026-05-16,Dortmund,2.0,0.0,3,1.6,2.0,1.2,1.0,1.2,1.8,8.0,1612.567559907847
2026-05-16,St Pauli,1.0,3.0,0,0.6,0.8,2.4,2.0,0.2,0.2,7.0,1423.4907385057897
2026-05-16,Ein Frankfurt,2.0,2.0,1,1.4,1.4,2.0,2.2,0.8,0.4,8.0,1513.24415680682
2026-05-16,Mainz,2.0,0.0,3,1.4,1.8,2.0,1.8,0.8,1.4,6.0,1511.8320043069507
2026-05-16,Heidenheim,0.0,2.0,0,2.4,1.8,1.4,1.6,2.0,1.4,6.0,1434.155627996152
2026-05-16,FC Koln,1.0,5.0,0,1.6,1.2,1.8,2.6,1.0,0.4,6.0,1449.4274435573243
2026-05-16,Hamburg,1.0,1.0,1,1.4,1.6,2.4,1.8,1.2,1.4,6.0,1487.774926721945
2026-05-16,Freiburg,4.0,1.0,3,1.2,1.8,1.8,2.0,1.4,1.4,6.0,1521.3301856688154
2026-05-16,Union Berlin,4.0,0.0,3,1.6,2.2,2.2,1.6,0.8,1.4,6.0,1477.013040927288
2026-08-28,Bayern Munich,5.0,1.0,3,3.4,3.6,1.8,1.6,2.6,2.6,104.0,1695.008299760313
2026-08-28,Stuttgart,1.0,5.0,0,2.2,2.0,2.2,2.4,1.2,1.2,104.0,1567.2619771225022
