Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-16,Wolfsburg,3.0,1.0,3,0.8,1.2,1.0,0.8,1.0,1.6,7.0,1448.4678734933111
2026-05-16,Heidenheim,0.0,2.0,0,2.4,1.8,1.4,1.6,2.0,1.4,6.0,1434.155627996152
2026-05-16,St Pauli,1.0,3.0,0,0.6,0.8,2.4,2.0,0.2,0.2,7.0,1423.4907385057895
2026-08-28,Stuttgart,1.0,5.0,0,2.2,2.0,2.2,2.4,1.2,1.2,104.0,1567.2619771225022
2026-08-28,Bayern Munich,5.0,1.0,3,3.4,3.6,1.8,1.6,2.6,2.6,104.0,1695.008299760313
2026-08-29,FC Koln,3.0,2.0,3,1.2,1.6,2.6,2.8,0.4,0.8,105.0,1460.282056488056
2026-08-29,M'gladbach,0.0,3.0,0,1.4,1.2,0.8,1.2,1.6,1.4,105.0,1481.160567545236
2026-08-29,Union Berlin,3.0,3.0,1,2.2,2.6,1.6,1.8,1.4,1.6,105.0,1476.3299827443168
2026-08-29,Hamburg,0.0,2.0,0,1.6,1.4,1.8,1.6,1.4,1.4,105.0,1482.6430644487568
2026-08-29,Mainz,0.0,0.0,1,1.8,1.6,1.8,1.6,1.4,1.4,105.0,1509.7934763553262
2026-08-29,SC Paderborn,0.0,0.0,1,,,,,,,,1502.0385279516245
2026-08-29,Hoffenheim,2.0,3.0,0,1.6,1.6,1.8,2.2,2.0,1.4,105.0,1528.3377306657662
2026-08-29,Elversberg,3.0,2.0,3,,,,,,,,1510.786645243438
2026-08-29,Ein Frankfurt,3.0,3.0,1,1.4,1.8,2.2,2.2,0.4,0.6,105.0,1513.9272149897913
2026-08-29,Dortmund,2.0,0.0,3,2.0,2.2,1.0,0.6,1.8,2.4,105.0,1617.699422181035
2026-08-29,Leverkusen,2.0,3.0,0,1.8,2.0,1.6,1.8,1.4,1.4,105.0,1576.6007954978547
2026-08-29,RB Leipzig,3.0,0.0,3,2.0,2.0,2.2,2.0,1.8,1.8,105.0,1581.1602369011086
2026-08-30,Freiburg,4.0,1.0,3,1.8,2.2,2.0,2.0,1.4,1.4,106.0,1528.0247146268566
2026-08-30,Augsburg,3.0,0.0,3,1.8,2.0,1.6,1.4,2.0,2.0,106.0,1509.7378611196614
2026-08-30,Schalke,0.0,3.0,0,,,,,,,,1491.7515582796343
2026-08-30,Werder Bremen,1.0,4.0,0,1.0,0.6,1.6,2.2,0.8,0.2,106.0,1455.311564866447
