date,matchday,home,away,status,home_goals,away_goals,utc,home_crest,away_crest,actual_ftr,p_A,p_D,p_H,pred_ftr,xg_home,xg_away
2026-08-21,1,Marseille,Strasbourg,FINISHED,4.0,0.0,2026-08-21T18:45:00Z,https://crests.football-data.org/516.png,https://crests.football-data.org/576.png,H,0.2681771742744196,0.3351728770924998,0.39664994863308056,H,1.3,1.1
2026-08-22,1,Lens,Auxerre,FINISHED,5.0,2.0,2026-08-22T15:15:00Z,https://crests.football-data.org/546.png,https://crests.football-data.org/519.png,H,0.12581839079846305,0.1455058719507288,0.7286757372508081,H,2.0,0.8
2026-08-22,1,Le Mans,Brest,FINISHED,2.0,2.0,2026-08-22T18:45:00Z,https://upload.wikimedia.org/wikipedia/en/5/57/Le_Mans_FC_logo.svg,https://crests.football-data.org/512.png,D,0.2593127771600942,0.3070903635215161,0.43359685931838976,H,1.3,1.0
2026-08-22,1,Troyes,Paris FC,FINISHED,0.0,0.0,2026-08-22T18:45:00Z,https://crests.football-data.org/531.png,https://crests.football-data.org/1045.png,D,0.3213392150448353,0.32230639078426115,0.3563543941709036,H,1.2,1.1
2026-08-22,1,Nice,Lorient,FINISHED,0.0,0.0,2026-08-22T18:45:00Z,https://crests.football-data.org/522.png,https://crests.football-data.org/525.png,D,0.27280967812204043,0.32106415105022995,0.40612617082772956,H,1.4,0.9
2026-08-22,1,Toulouse,Lyon,FINISHED,0.0,2.0,2026-08-22T18:45:00Z,https://crests.football-data.org/511.png,https://crests.football-data.org/523.png,A,0.3819216463939895,0.2958893446338398,0.32218900897217057,A,1.2,1.2
2026-08-23,1,Angers,Lille,FINISHED,0.0,2.0,2026-08-23T13:00:00Z,https://crests.football-data.org/532.png,https://crests.football-data.org/521.png,A,0.44156371077461565,0.33366309175919767,0.2247731974661868,A,1.1,1.2
2026-08-23,1,Le Havre,Monaco,FINISHED,0.0,1.0,2026-08-23T15:15:00Z,https://crests.football-data.org/533.png,https://crests.football-data.org/548.png,A,0.4356501316170562,0.32217963196415644,0.2421702364187875,A,0.9,1.2
2026-08-23,1,Rennes,Paris SG,FINISHED,2.0,2.0,2026-08-23T18:45:00Z,https://crests.football-data.org/529.png,https://crests.football-data.org/524.png,D,0.3487242648646896,0.28037288148602807,0.37090285364928227,H,1.4,1.4
2026-08-28,2,Lille,Paris SG,FINISHED,2.0,2.0,2026-08-28T18:45:00Z,https://crests.football-data.org/521.png,https://crests.football-data.org/524.png,D,0.34787415124118287,0.27555281363167183,0.3765730351271453,H,1.5,1.2
2026-08-29,2,Strasbourg,Lens,FINISHED,2.0,1.0,2026-08-29T15:15:00Z,https://crests.football-data.org/576.png,https://crests.football-data.org/546.png,H,0.26322353915103675,0.35929673992455263,0.3774797209244107,H,1.7,1.3
2026-08-29,2,Lorient,Troyes,FINISHED,1.0,2.0,2026-08-29T18:45:00Z,https://crests.football-data.org/525.png,https://crests.football-data.org/531.png,A,0.21493821334720073,0.2973592479164219,0.4877025387363775,H,1.6,0.8
2026-08-29,2,Lyon,Le Havre,FINISHED,1.0,1.0,2026-08-29T18:45:00Z,https://crests.football-data.org/523.png,https://crests.football-data.org/533.png,D,0.14833542933649213,0.23738320251305084,0.6142813681504571,H,1.9,0.8
2026-08-29,2,Auxerre,Angers,FINISHED,1.0,3.0,2026-08-29T18:45:00Z,https://crests.football-data.org/519.png,https://crests.football-data.org/532.png,A,0.25265804301660183,0.28456351953793685,0.46277843744546127,H,1.4,1.0
2026-08-29,2,Brest,Toulouse,FINISHED,2.0,2.0,2026-08-29T18:45:00Z,https://crests.football-data.org/512.png,https://crests.football-data.org/511.png,D,0.21046213062203992,0.279089577264297,0.510448292113663,H,1.4,0.8
2026-08-30,2,Paris FC,Nice,FINISHED,3.0,0.0,2026-08-30T13:00:00Z,https://crests.football-data.org/1045.png,https://crests.football-data.org/522.png,H,0.19287077009952805,0.26774125623895406,0.5393879736615179,H,1.4,0.8
