Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2025-05-17,Montpellier,0.0,3.0,0,0.4,0.4,2.4,2.6,0.2,0.2,7.0,1400.1628363087934
2025-05-17,St Etienne,2.0,3.0,0,1.8,1.6,2.0,2.0,1.4,1.2,7.0,1448.1864735753811
2025-05-17,Reims,1.0,2.0,0,0.6,0.4,0.6,1.0,1.4,0.8,7.0,1462.290904782121
2026-05-17,Lyon,0.0,4.0,0,2.4,2.0,1.4,2.2,2.4,1.8,7.0,1584.345002274291
2026-05-17,Brest,1.0,1.0,1,1.0,1.0,2.2,2.2,0.4,0.4,4.0,1490.2282572991978
2026-05-17,Rennes,1.0,3.0,0,2.2,2.0,1.4,1.8,2.4,1.8,7.0,1569.119159572197
2026-05-17,Lorient,0.0,2.0,0,2.0,2.0,1.4,1.4,1.4,1.4,7.0,1502.9991990817753
2026-05-17,Metz,0.0,0.0,1,1.4,1.2,3.2,2.6,0.2,0.4,7.0,1361.1764661144007
2026-05-17,Nice,0.0,0.0,1,0.8,0.6,1.0,0.8,0.8,0.8,7.0,1480.0771595589158
2026-05-17,Monaco,4.0,5.0,0,1.4,2.0,2.0,2.2,1.0,1.0,7.0,1575.0855884539626
2026-05-17,Paris SG,1.0,2.0,0,2.2,1.8,0.4,0.8,2.6,2.0,4.0,1696.2603614324962
2026-05-17,Le Havre,2.0,0.0,3,1.4,1.6,1.6,1.4,0.8,1.2,7.0,1462.029600425202
2026-05-17,Auxerre,2.0,0.0,3,1.8,2.2,1.4,1.4,1.6,2.0,7.0,1479.600929395652
2026-05-17,Paris FC,2.0,1.0,3,2.4,2.0,1.0,1.0,1.8,1.8,7.0,1525.5553033759438
2026-05-17,Lille,0.0,2.0,0,1.4,0.6,0.2,0.6,2.2,1.6,7.0,1608.8675828998707
2026-05-17,Angers,1.0,1.0,1,0.8,0.8,2.0,1.8,0.4,0.6,7.0,1440.2740595027049
2026-05-17,Toulouse,0.0,0.0,1,1.6,1.6,2.2,1.4,1.4,1.6,7.0,1511.275881729926
2026-05-17,Strasbourg,5.0,4.0,3,1.4,2.4,1.8,2.0,1.4,2.0,4.0,1562.6191529017383
2026-05-17,Lens,4.0,0.0,3,1.6,1.8,1.6,1.2,1.6,1.6,4.0,1616.4889407060682
2026-05-17,Marseille,3.0,1.0,3,1.0,1.0,1.4,1.4,1.4,1.4,7.0,1580.5173352422623
2026-05-17,Nantes,0.0,0.0,1,1.0,0.8,1.4,1.2,0.8,0.8,9.0,1406.1341233418211
