Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-17,Nantes,0.0,0.0,1,1.0,0.8,1.4,1.2,0.8,0.8,9.0,1429.600592506366
2026-05-17,Metz,0.0,0.0,1,1.4,1.2,3.2,2.6,0.2,0.4,7.0,1395.8823495858005
2026-09-03,Lille,1.0,0.0,3,1.2,1.2,1.0,0.8,1.6,2.0,6.0,1598.8041225946256
2026-09-03,Toulouse,0.0,1.0,0,1.2,0.8,1.2,1.2,1.6,1.0,5.0,1490.766700774155
2026-09-04,Auxerre,1.0,3.0,0,2.0,1.6,2.0,2.4,1.8,1.2,6.0,1460.8413324561045
2026-09-04,Lyon,3.0,1.0,3,1.6,1.4,1.8,1.6,1.4,1.4,6.0,1574.484641805754
2026-09-04,Monaco,2.0,1.0,3,1.8,1.8,1.4,1.4,1.8,1.8,5.0,1587.6018504838314
2026-09-04,Paris SG,1.0,2.0,0,1.6,1.6,1.2,1.6,1.6,1.0,7.0,1632.6498336264171
2026-09-05,Nice,1.0,1.0,1,0.4,0.4,1.2,1.2,0.6,0.6,6.0,1475.19945496348
2026-09-05,Lens,0.0,1.0,0,2.2,2.0,1.2,1.4,1.8,1.2,7.0,1569.0436980897173
2026-09-05,Lorient,1.0,0.0,3,1.4,1.2,1.2,0.8,1.0,1.4,7.0,1504.7145180805016
2026-09-05,Le Mans,1.0,1.0,1,1.4,1.2,2.0,1.6,0.8,1.0,6.0,1492.0315849485262
2026-09-05,Le Havre,1.0,2.0,0,0.8,0.8,0.8,1.0,1.0,0.8,7.0,1455.82719132714
2026-09-05,Brest,2.0,1.0,3,1.2,1.6,1.6,1.6,0.6,1.2,7.0,1503.9344100270937
2026-09-06,Paris FC,3.0,2.0,3,2.0,1.8,0.6,1.0,2.0,2.0,7.0,1539.1423571432522
2026-09-06,Strasbourg,6.0,2.0,3,2.0,3.0,2.2,2.4,2.0,2.4,8.0,1558.4159977278564
2026-09-06,Troyes,2.0,6.0,0,1.0,1.2,1.0,2.0,1.2,1.0,8.0,1463.450318982684
2026-09-06,Angers,1.0,2.0,0,1.2,1.2,1.6,1.4,1.0,1.0,8.0,1450.827398660915
2026-09-11,Marseille,0.0,1.0,0,2.0,1.8,1.2,1.4,1.8,1.2,5.0,1539.6092228423258
2026-09-11,Rennes,1.0,0.0,3,2.0,1.8,1.8,1.6,2.0,2.0,5.0,1576.210092355268
