matchday,team,opponent,xW,xD,xL,exp_pts,pts,played
1,Marseille,Strasbourg,0.39664994863308056,0.3351728770924998,0.2681771742744196,1.5251227229917415,3,1
1,Strasbourg,Marseille,0.2681771742744196,0.3351728770924998,0.39664994863308056,1.1397043999157586,0,1
1,Lens,Auxerre,0.7286757372508081,0.1455058719507288,0.12581839079846305,2.3315330837031536,3,1
1,Auxerre,Lens,0.12581839079846305,0.1455058719507288,0.7286757372508081,0.522961044346118,0,1
1,Le Mans,Brest,0.43359685931838976,0.3070903635215161,0.2593127771600942,1.6078809414766853,1,1
1,Brest,Le Mans,0.2593127771600942,0.3070903635215161,0.43359685931838976,1.0850286950017987,1,1
1,Troyes,Paris FC,0.3563543941709036,0.32230639078426115,0.3213392150448353,1.391369573296972,1,1
1,Paris FC,Troyes,0.3213392150448353,0.32230639078426115,0.3563543941709036,1.286324035918767,1,1
1,Nice,Lorient,0.40612617082772956,0.32106415105022995,0.27280967812204043,1.5394426635334186,1,1
1,Lorient,Nice,0.27280967812204043,0.32106415105022995,0.40612617082772956,1.1394931854163513,1,1
1,Toulouse,Lyon,0.32218900897217057,0.2958893446338398,0.3819216463939895,1.2624563715503514,0,1
1,Lyon,Toulouse,0.3819216463939895,0.2958893446338398,0.32218900897217057,1.4416542838158082,3,1
1,Angers,Lille,0.2247731974661868,0.33366309175919767,0.44156371077461565,1.007982684157758,0,1
1,Lille,Angers,0.44156371077461565,0.33366309175919767,0.2247731974661868,1.6583542240830447,3,1
1,Le Havre,Monaco,0.2421702364187875,0.32217963196415644,0.4356501316170562,1.048690341220519,0,1
1,Monaco,Le Havre,0.4356501316170562,0.32217963196415644,0.2421702364187875,1.629130026815325,3,1
1,Rennes,Paris SG,0.37090285364928227,0.28037288148602807,0.3487242648646896,1.3930814424338749,1,1
1,Paris SG,Rennes,0.3487242648646896,0.28037288148602807,0.37090285364928227,1.3265456760800969,1,1
2,Lille,Paris SG,0.3765730351271453,0.27555281363167183,0.34787415124118287,1.4052719190131078,1,1
2,Paris SG,Lille,0.34787415124118287,0.27555281363167183,0.3765730351271453,1.3191752673552204,1,1
2,Strasbourg,Lens,0.3774797209244107,0.35929673992455263,0.26322353915103675,1.4917359026977846,3,1
2,Lens,Strasbourg,0.26322353915103675,0.35929673992455263,0.3774797209244107,1.1489673573776629,0,1
2,Lorient,Troyes,0.4877025387363775,0.2973592479164219,0.21493821334720073,1.7604668641255543,0,1
2,Troyes,Lorient,0.21493821334720073,0.2973592479164219,0.4877025387363775,0.942173887958024,3,1
2,Lyon,Le Havre,0.6142813681504571,0.23738320251305084,0.14833542933649213,2.080227306964422,1,1
2,Le Havre,Lyon,0.14833542933649213,0.23738320251305084,0.6142813681504571,0.6823894905225272,1,1
2,Auxerre,Angers,0.46277843744546127,0.28456351953793685,0.25265804301660183,1.6728988318743205,0,1
2,Angers,Auxerre,0.25265804301660183,0.28456351953793685,0.46277843744546127,1.0425376485877422,3,1
2,Brest,Toulouse,0.510448292113663,0.279089577264297,0.21046213062203992,1.810434453605286,1,1
2,Toulouse,Brest,0.21046213062203992,0.279089577264297,0.510448292113663,0.9104759691304167,1,1
2,Paris FC,Nice,0.5393879736615179,0.26774125623895406,0.19287077009952805,1.8859051772235078,3,1
2,Nice,Paris FC,0.19287077009952805,0.26774125623895406,0.5393879736615179,0.8463535665375382,0,1
2,Rennes,Le Mans,0.6033805676112273,0.2236571381735754,0.17296229421519732,2.033798841007257,3,1
2,Le Mans,Rennes,0.17296229421519732,0.2236571381735754,0.6033805676112273,0.7425440208191674,0,1
2,Monaco,Marseille,0.5119104844168321,0.2600223877443062,0.22806712783886168,1.7957538409948024,3,1
2,Marseille,Monaco,0.22806712783886168,0.2600223877443062,0.5119104844168321,0.9442237712608912,0,1
3,Toulouse,Lille,0.31419054382401235,0.2900876280219632,0.39572182815402446,1.2326592594940002,0,1
3,Lille,Toulouse,0.39572182815402446,0.2900876280219632,0.31419054382401235,1.4772531124840365,3,1
3,Lyon,Auxerre,0.6399228903698715,0.19655507593252797,0.16352203369760052,2.1163237470421423,3,1
3,Auxerre,Lyon,0.16352203369760052,0.19655507593252797,0.6399228903698715,0.6871211770253295,0,1
3,Paris SG,Monaco,0.4809148307853225,0.25877984866483844,0.26030532054983907,1.7015243410208059,0,1
3,Monaco,Paris SG,0.26030532054983907,0.25877984866483844,0.4809148307853225,1.0396958103143557,3,1
3,Lens,Lorient,0.6064073040288248,0.22770606305345947,0.16588663291771574,2.046927975139934,0,1
3,Lorient,Lens,0.16588663291771574,0.22770606305345947,0.6064073040288248,0.7253659618066066,3,1
3,Le Havre,Brest,0.3877133962663667,0.32391438817443235,0.2883722155592009,1.4870545769735326,0,1
3,Brest,Le Havre,0.2883722155592009,0.32391438817443235,0.3877133962663667,1.189031034852035,3,1
3,Nice,Le Mans,0.4815720704642834,0.2895138587047566,0.2289140708309599,1.7342300700976068,1,1
3,Le Mans,Nice,0.2289140708309599,0.2895138587047566,0.4815720704642834,0.9762560711976362,1,1
3,Troyes,Strasbourg,0.35381706918425665,0.3221213112636469,0.32406161955209645,1.383572518816417,0,1
3,Strasbourg,Troyes,0.32406161955209645,0.3221213112636469,0.35381706918425665,1.2943061699199363,3,1
3,Angers,Rennes,0.2650179814580476,0.2948792339736522,0.44010278456830015,1.089933178347795,0,1
3,Rennes,Angers,0.44010278456830015,0.2948792339736522,0.2650179814580476,1.6151875876785526,3,1
3,Marseille,Paris FC,0.44921279071946607,0.30140505332260964,0.2493821559579243,1.6490434254810078,0,1
3,Paris FC,Marseille,0.2493821559579243,0.30140505332260964,0.44921279071946607,1.0495515211963824,3,1
4,Rennes,Marseille,0.4658734733033906,0.2791988789696817,0.2549276477269276,1.6768192988798536,3,1
4,Marseille,Rennes,0.2549276477269276,0.2791988789696817,0.4658734733033906,1.0439818221504646,0,1
4,Strasbourg,Monaco,0.3283664611675182,0.39390760791268964,0.27772593091979214,1.3790069914152443,0,0
4,Monaco,Strasbourg,0.27772593091979214,0.39390760791268964,0.3283664611675182,1.227085400672066,0,0
4,Lorient,Toulouse,0.484765392240942,0.29353187765051386,0.22170273010854413,1.7478280543733398,0,0
4,Toulouse,Lorient,0.22170273010854413,0.29353187765051386,0.484765392240942,0.9586400679761462,0,0
4,Auxerre,Nice,0.45713684821542044,0.30259756834811924,0.2402655834364602,1.6740081129943807,0,0
4,Nice,Auxerre,0.2402655834364602,0.30259756834811924,0.45713684821542044,1.0233943186574999,0,0
4,Le Havre,Angers,0.4368439241375356,0.32323840986912433,0.2399176659933402,1.6337701822817312,0,0
4,Angers,Le Havre,0.2399176659933402,0.32323840986912433,0.4368439241375356,1.042991407849145,0,0
4,Paris FC,Lyon,0.38320099633787874,0.31194360019424344,0.3048554034678778,1.4615465892078796,0,0
4,Lyon,Paris FC,0.3048554034678778,0.31194360019424344,0.38320099633787874,1.226509810597877,0,0
4,Lille,Troyes,0.6014925888991821,0.25816668499695716,0.14034072610386064,2.0626444516945033,0,0
4,Troyes,Lille,0.14034072610386064,0.25816668499695716,0.6014925888991821,0.6791888633085391,0,0
4,Le Mans,Lens,0.2952188575194858,0.2735668559698837,0.43121428651063043,1.1592234285283411,0,0
4,Lens,Le Mans,0.43121428651063043,0.2735668559698837,0.2952188575194858,1.5672097155017748,0,0
4,Brest,Paris SG,0.2045997108118948,0.31584538009911367,0.4795549090889917,0.9296445125347981,0,0
4,Paris SG,Brest,0.4795549090889917,0.31584538009911367,0.2045997108118948,1.7545101073660887,0,0
5,Monaco,Lens,0.46491915230422326,0.24150636198382772,0.293574485711949,1.6362638188964975,0,0
5,Lens,Monaco,0.293574485711949,0.24150636198382772,0.46491915230422326,1.1222298191196747,0,0
5,Paris FC,Strasbourg,0.4000573209506361,0.34127848773865305,0.2586641913107107,1.5414504505905613,0,0
5,Strasbourg,Paris FC,0.2586641913107107,0.34127848773865305,0.4000573209506361,1.1172710616707853,0,0
5,Le Mans,Lorient,0.4181548900589829,0.31585596187713266,0.26598914806388446,1.5703206320540812,0,0
5,Lorient,Le Mans,0.26598914806388446,0.31585596187713266,0.4181548900589829,1.113823406068786,0,0
5,Toulouse,Le Havre,0.4781509824482315,0.29608154403449843,0.22576747351726995,1.730534491379193,0,0
5,Le Havre,Toulouse,0.22576747351726995,0.29608154403449843,0.4781509824482315,0.9733839645863083,0,0
5,Angers,Troyes,0.4309412368092041,0.3198925739805946,0.24916618921020128,1.612716284408207,0,0
5,Troyes,Angers,0.24916618921020128,0.3198925739805946,0.4309412368092041,1.0673911416111985,0,0
5,Lyon,Rennes,0.43667524939884544,0.2583944611110315,0.3049302894901231,1.5684202093075679,0,0
5,Rennes,Lyon,0.3049302894901231,0.2583944611110315,0.43667524939884544,1.1731853295814005,0,0
5,Auxerre,Brest,0.38117144750008974,0.31815198214923684,0.30067657035067347,1.461666324649506,0,0
5,Brest,Auxerre,0.30067657035067347,0.31815198214923684,0.38117144750008974,1.2201816932012572,0,0
5,Nice,Lille,0.3079104731391318,0.2937395881050209,0.39834993875584734,1.2174710075224162,0,0
5,Lille,Nice,0.39834993875584734,0.2937395881050209,0.3079104731391318,1.488789404372563,0,0
5,Marseille,Paris SG,0.26877250878307596,0.3455390879405947,0.3856884032763293,1.1518566142898226,0,0
5,Paris SG,Marseille,0.3856884032763293,0.3455390879405947,0.26877250878307596,1.5026042977695826,0,0
6,Lens,Lyon,0.48580940965139285,0.22490629328199765,0.2892842970666095,1.682334522236176,0,0
6,Lyon,Lens,0.2892842970666095,0.22490629328199765,0.48580940965139285,1.0927591844818263,0,0
6,Lille,Le Havre,0.5807129537644506,0.2797247261371363,0.13956232009841318,2.021863587430488,0,0
6,Le Havre,Lille,0.13956232009841318,0.2797247261371363,0.5807129537644506,0.6984116864323758,0,0
6,Brest,Angers,0.473363109211981,0.28902259050319956,0.23761430028481936,1.7091119181391425,0,0
6,Angers,Brest,0.23761430028481936,0.28902259050319956,0.473363109211981,1.0018654913576577,0,0
6,Lorient,Paris FC,0.3791769291404049,0.3215393792035024,0.29928369165609264,1.4590701666247172,0,0
6,Paris FC,Lorient,0.29928369165609264,0.3215393792035024,0.3791769291404049,1.2193904541717804,0,0
6,Paris SG,Le Mans,0.6045105727419754,0.2488279757928114,0.14666145146521312,2.0623596940187374,0,0
6,Le Mans,Paris SG,0.14666145146521312,0.2488279757928114,0.6045105727419754,0.6888123301884508,0,0
6,Monaco,Toulouse,0.5665401727147243,0.2651831102631865,0.16827671702208916,1.9648036284073596,0,0
6,Toulouse,Monaco,0.16827671702208916,0.2651831102631865,0.5665401727147243,0.7700132613294539,0,0
6,Nice,Strasbourg,0.3601503084370336,0.32684849449218634,0.3130011970707801,1.407299419803287,0,0
6,Strasbourg,Nice,0.3130011970707801,0.32684849449218634,0.3601503084370336,1.2658520857045268,0,0
6,Rennes,Auxerre,0.6335784086057547,0.20098569512988856,0.16543589626435684,2.1017209209471526,0,0
6,Auxerre,Rennes,0.16543589626435684,0.20098569512988856,0.6335784086057547,0.6972933839229591,0,0
