date,matchday,home,away,status,home_goals,away_goals,utc,home_crest,away_crest,actual_ftr,p_A,p_D,p_H,pred_ftr,xg_home,xg_away
2026-08-15,1,Alaves,Getafe,FINISHED,3.0,0.0,2026-08-15T17:30:00Z,https://crests.football-data.org/263.png,https://crests.football-data.org/82.png,H,0.22165101925718791,0.28579449579542826,0.4925544849473837,H,1.5,1.0
2026-08-15,1,Sevilla,Vallecano,FINISHED,2.0,1.0,2026-08-15T19:30:00Z,https://crests.football-data.org/559.png,https://crests.football-data.org/87.png,H,0.25745920581806164,0.3141013802299541,0.4284394139519842,H,1.5,1.0
2026-08-16,1,Santander,Villarreal,FINISHED,2.0,2.0,2026-08-16T15:00:00Z,https://crests.football-data.org/5335.png,https://crests.football-data.org/94.png,D,0.38035160293244114,0.2849082336589722,0.3347401634085867,A,1.2,1.4
2026-08-16,1,Espanol,Levante,FINISHED,3.0,0.0,2026-08-16T17:00:00Z,https://crests.football-data.org/80.png,https://crests.football-data.org/88.png,H,0.22749059337735875,0.2844253001636158,0.4880841064590255,H,1.5,1.0
2026-08-17,1,Deportivo,Elche,FINISHED,1.0,1.0,2026-08-17T19:00:00Z,https://crests.football-data.org/560.png,https://crests.football-data.org/285.png,D,0.25176141629358584,0.27186973838087736,0.47636884532553686,H,1.5,1.0
2026-08-19,1,Ath Madrid,Málaga,FINISHED,2.0,0.0,2026-08-19T19:00:00Z,https://crests.football-data.org/78.png,https://crests.football-data.org/84.png,H,0.12657469414137795,0.19222198542378272,0.6812033204348392,H,1.9,0.7
2026-08-20,2,Vallecano,Alaves,FINISHED,1.0,1.0,2026-08-20T19:00:00Z,https://crests.football-data.org/87.png,https://crests.football-data.org/263.png,D,0.19844450159920518,0.26032477738428456,0.5412307210165103,H,1.7,1.0
2026-08-21,2,Betis,Sociedad,FINISHED,1.0,0.0,2026-08-21T19:00:00Z,https://crests.football-data.org/90.png,https://crests.football-data.org/92.png,H,0.2100021218303188,0.2141133212607172,0.575884556908964,H,1.8,1.0
2026-08-22,2,Ath Bilbao,Sevilla,FINISHED,1.0,3.0,2026-08-22T15:00:00Z,https://crests.football-data.org/77.png,https://crests.football-data.org/559.png,A,0.23957416397796116,0.2979243197320953,0.4625015162899435,H,1.5,1.0
2026-08-22,2,Valencia,Celta,FINISHED,0.0,0.0,2026-08-22T17:30:00Z,https://crests.football-data.org/95.png,https://crests.football-data.org/558.png,D,0.29561630428992514,0.2818580305942752,0.4225256651157997,H,1.3,1.0
2026-08-22,2,Espanol,Real Madrid,FINISHED,1.0,2.0,2026-08-22T19:30:00Z,https://crests.football-data.org/80.png,https://crests.football-data.org/86.png,A,0.5623328645447423,0.2244759580621563,0.21319117739310137,A,1.0,1.6
2026-08-23,2,Ath Madrid,Villarreal,FINISHED,2.0,2.0,2026-08-23T15:00:00Z,https://crests.football-data.org/78.png,https://crests.football-data.org/94.png,D,0.22095292414574333,0.30012742429791706,0.47891965155633953,H,1.5,1.2
2026-08-23,2,Getafe,Santander,FINISHED,1.0,0.0,2026-08-23T17:30:00Z,https://crests.football-data.org/82.png,https://crests.football-data.org/5335.png,H,0.26115411352494267,0.2561101510660973,0.48273573540896003,H,1.5,1.0
2026-08-23,2,Elche,Barcelona,FINISHED,0.0,5.0,2026-08-23T19:30:00Z,https://crests.football-data.org/285.png,https://crests.football-data.org/81.png,A,0.5708787686685535,0.23226980200162733,0.19685142932981925,A,1.0,1.7
2026-08-24,2,Osasuna,Levante,FINISHED,0.0,0.0,2026-08-24T17:30:00Z,https://crests.football-data.org/79.png,https://crests.football-data.org/88.png,D,0.2553313938855283,0.2830311592092512,0.46163744690522046,H,1.4,0.9
2026-08-24,2,Málaga,Deportivo,FINISHED,1.0,1.0,2026-08-24T19:30:00Z,https://crests.football-data.org/84.png,https://crests.football-data.org/560.png,D,0.35406517800428056,0.2363604114667596,0.40957441052895993,H,1.4,1.3
2026-08-25,1,Valencia,Betis,FINISHED,0.0,1.0,2026-08-25T19:00:00Z,https://crests.football-data.org/95.png,https://crests.football-data.org/90.png,A,0.3746219603753169,0.2645462194368748,0.36083182018780835,A,1.2,1.5
2026-08-26,1,Real Madrid,Sociedad,FINISHED,4.0,1.0,2026-08-26T19:00:00Z,https://crests.football-data.org/86.png,https://crests.football-data.org/92.png,H,0.08047885218907887,0.10667243099607598,0.8128487168148453,H,2.7,0.9
2026-08-27,1,Celta,Osasuna,TIMED,,,2026-08-27T18:30:00Z,https://crests.football-data.org/558.png,https://crests.football-data.org/79.png,,0.21846387141122328,0.23026414511839768,0.551271983470379,H,1.7,1.0
2026-08-27,1,Barcelona,Ath Bilbao,TIMED,,,2026-08-27T19:00:00Z,https://crests.football-data.org/81.png,https://crests.football-data.org/77.png,,0.09678719352199786,0.08759313915469157,0.8156196673233105,H,2.6,0.9
2026-08-28,3,Santander,Elche,TIMED,,,2026-08-28T17:00:00Z,https://crests.football-data.org/5335.png,https://crests.football-data.org/285.png,,0.2455434180298974,0.27130653148288,0.48315005048722254,H,1.5,1.1
2026-08-28,3,Alaves,Villarreal,TIMED,,,2026-08-28T19:30:00Z,https://crests.football-data.org/263.png,https://crests.football-data.org/94.png,,0.4133566158768752,0.2709347694626623,0.3157086146604623,A,1.2,1.4
2026-08-29,3,Levante,Betis,TIMED,,,2026-08-29T15:00:00Z,https://crests.football-data.org/88.png,https://crests.football-data.org/90.png,,0.37118245575615194,0.2701656714079012,0.35865187283594674,A,1.2,1.3
