Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-23,Girona,1.0,1.0,1,0.6,0.6,1.2,1.0,0.4,0.6,6.0,1478.5575248377042
2026-05-23,Oviedo,0.0,3.0,0,0.2,0.0,1.6,1.8,0.2,0.2,6.0,1441.0627677509751
2026-05-23,Mallorca,3.0,0.0,3,0.8,1.2,1.6,1.2,0.8,1.4,6.0,1477.8745925657
2026-09-04,Betis,1.0,0.0,3,1.4,1.4,1.8,1.2,1.8,2.4,6.0,1576.0950028746843
2026-09-05,Ath Madrid,0.0,3.0,0,1.8,1.6,1.6,2.2,2.0,1.4,7.0,1578.7686637773743
2026-09-05,Villarreal,2.0,3.0,0,1.8,2.2,1.6,1.8,1.0,1.0,8.0,1558.249100908169
2026-09-05,Deportivo,3.0,2.0,3,,,,,,,6.0,1521.141306762774
2026-09-06,Levante,0.0,0.0,1,1.6,1.2,1.4,1.4,1.4,1.0,8.0,1494.134059480354
2026-09-06,Barcelona,5.0,0.0,3,3.2,3.6,1.2,1.0,2.4,2.4,6.0,1694.429403165211
2026-09-06,MÃ¡laga,0.0,0.0,1,,,,,,,7.0,1486.2838003755478
2026-09-07,Sociedad,3.0,2.0,3,0.8,1.2,1.4,1.6,1.0,1.4,4.0,1500.3854233716677
2026-09-07,Celta,1.0,1.0,1,0.4,0.4,0.8,1.0,1.0,0.6,4.0,1503.249742058603
2026-09-07,Getafe,1.0,1.0,1,0.4,0.6,1.0,1.0,1.2,1.4,7.0,1486.8907818837151
2026-09-11,Valencia,0.0,1.0,0,0.8,0.2,2.0,2.0,0.8,0.2,5.0,1481.7082665721648
2026-09-11,Sevilla,1.0,0.0,3,1.4,1.6,1.4,1.2,1.4,2.0,5.0,1493.6631753151898
2026-09-12,Alaves,1.0,2.0,0,2.2,2.2,1.0,1.0,2.0,2.0,6.0,1505.6897492775033
2026-09-12,Elche,1.0,1.0,1,1.2,1.2,2.6,2.6,0.4,0.4,5.0,1457.7499989587182
2026-09-12,Vallecano,1.0,4.0,0,1.8,1.6,2.2,2.8,1.4,0.8,7.0,1509.999714058063
2026-09-12,Ath Bilbao,1.0,1.0,1,1.6,1.4,1.8,1.2,1.2,1.4,7.0,1504.03912850981
2026-09-12,Espanol,2.0,0.0,3,1.4,1.6,1.2,1.0,1.0,1.4,6.0,1478.6927434790528
2026-09-12,Osasuna,0.0,2.0,0,1.0,1.0,1.4,1.6,1.4,1.4,6.0,1475.8462266415022
2026-09-12,Real Madrid,4.0,1.0,3,2.8,2.8,1.0,0.8,2.4,2.4,8.0,1656.9917527613475
2026-09-12,Santander,2.0,1.0,3,1.8,1.8,2.4,1.8,0.8,1.4,7.0,1499.387392012457
