Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-23,Oviedo,0.0,3.0,0.0,0.2,0.0,1.6,1.8,0.2,0.2,6.0,1441.0627677509751
2026-05-23,Barcelona,1.0,3.0,0.0,1.8,1.6,0.6,1.2,2.4,1.8,6.0,1673.785852969972
2026-05-23,Girona,1.0,1.0,1.0,0.6,0.6,1.2,1.0,0.4,0.6,6.0,1478.5575248377042
2026-05-23,Mallorca,3.0,0.0,3.0,0.8,1.2,1.6,1.2,0.8,1.4,6.0,1477.8745925657
2026-05-23,Elche,1.0,1.0,1.0,1.2,1.0,1.4,1.4,1.4,1.0,6.0,1477.467380008002
2026-05-23,Sociedad,1.0,1.0,1.0,1.8,1.4,2.2,1.8,0.6,0.6,6.0,1493.462379144406
2026-05-23,Betis,2.0,1.0,3.0,1.8,2.0,1.4,1.4,1.6,2.0,6.0,1559.1807018864415
2026-05-23,Osasuna,0.0,1.0,0.0,1.4,1.0,2.0,2.0,0.6,0.0,6.0,1476.104121494024
2026-05-23,Real Madrid,4.0,2.0,3.0,1.2,1.8,0.6,0.8,2.0,2.4,6.0,1647.6446155530589
2026-05-23,Ath Bilbao,2.0,4.0,0.0,1.4,1.4,1.8,2.0,0.8,0.8,6.0,1499.7076428003104
2026-05-23,Valencia,3.0,1.0,3.0,1.6,1.8,1.4,1.4,2.0,2.0,6.0,1516.733918255594
2026-05-23,Celta,1.0,0.0,3.0,1.6,1.6,1.4,1.0,1.4,2.0,6.0,1524.6204905286063
2026-05-24,Ath Madrid,1.0,5.0,0.0,1.6,1.2,0.8,1.4,2.4,1.8,7.0,1575.995281904635
2026-08-15,Getafe,0.0,3.0,0.0,0.8,0.8,0.8,1.0,1.4,1.4,84.0,1488.1604733562706
2026-08-15,Alaves,3.0,0.0,3.0,1.2,1.4,1.4,0.6,1.4,2.0,84.0,1493.6539990429076
2026-08-15,Vallecano,1.0,2.0,0.0,1.6,1.4,0.6,1.0,2.2,1.6,84.0,1513.2017594153883
2026-08-15,Sevilla,2.0,1.0,3.0,1.2,1.4,1.0,1.2,1.8,1.8,84.0,1480.9736343749585
2026-08-16,Villarreal,2.0,2.0,1.0,2.6,2.0,1.6,1.8,1.4,1.0,84.0,1580.6805702421984
2026-08-16,Santander,2.0,2.0,1.0,0.8,1.2,2.2,2.4,0.2,0.4,5208.0,1499.2581981079734
2026-08-16,Espanol,3.0,0.0,3.0,1.2,1.8,1.2,0.8,1.4,2.0,85.0,1482.7981803610514
2026-08-16,Levante,0.0,3.0,0.0,2.0,1.8,2.2,1.8,1.8,1.8,85.0,1479.9662327981105
,Deportivo,,,,,1.0,,1.6,,1.0,,1400.0
,Málaga,,,,,1.0,,1.6,,1.0,,1400.0
