matchday,team,opponent,xW,xD,xL,exp_pts,pts,played
1,Alaves,Getafe,0.5430573562585205,0.2537023686735179,0.20324027506796152,1.8828744374490793,3,1
1,Getafe,Alaves,0.20324027506796152,0.2537023686735179,0.5430573562585205,0.8634231938774025,0,1
1,Sevilla,Vallecano,0.41495494450379483,0.31963015638629605,0.26541489910990923,1.5644949898976805,3,1
1,Vallecano,Sevilla,0.26541489910990923,0.31963015638629605,0.41495494450379483,1.1158748537160237,0,1
1,Santander,Villarreal,0.351304953458777,0.2529670547805822,0.3957279917606408,1.306881915156913,1,1
1,Villarreal,Santander,0.3957279917606408,0.2529670547805822,0.351304953458777,1.4401510300625047,1,1
1,Espanol,Levante,0.4704764829776687,0.28828127928327346,0.2412422377390577,1.6997107282162796,3,1
1,Levante,Espanol,0.2412422377390577,0.28828127928327346,0.4704764829776687,1.0120079925004466,0,1
1,Deportivo,Elche,0.5690515845021428,0.22745866109381516,0.20348975440404213,1.9346134146002436,1,1
1,Elche,Deportivo,0.20348975440404213,0.22745866109381516,0.5690515845021428,0.8379279243059415,1,1
1,Ath Madrid,Málaga,0.6544671033174718,0.20556486876277688,0.1399680279197513,2.168966178715192,3,1
1,Málaga,Ath Madrid,0.1399680279197513,0.20556486876277688,0.6544671033174718,0.6254689525220308,0,1
2,Vallecano,Alaves,0.465701821317133,0.30226649701853575,0.23203168166433125,1.6993719609699347,1,1
2,Alaves,Vallecano,0.23203168166433125,0.30226649701853575,0.465701821317133,0.9983615420115295,1,1
2,Betis,Sociedad,0.5624339857967855,0.24981099924178984,0.18775501496142466,1.9371129566321463,3,1
2,Sociedad,Betis,0.18775501496142466,0.24981099924178984,0.5624339857967855,0.8130760441260638,0,1
2,Ath Bilbao,Sevilla,0.5054112649772304,0.26228358820138337,0.2323051468213861,1.7785173831330747,0,1
2,Sevilla,Ath Bilbao,0.2323051468213861,0.26228358820138337,0.5054112649772304,0.9591990286655416,3,1
2,Valencia,Celta,0.469440136194699,0.2704487464245069,0.2601111173807941,1.678769155008604,1,1
2,Celta,Valencia,0.2601111173807941,0.2704487464245069,0.469440136194699,1.0507820985668892,1,1
2,Espanol,Real Madrid,0.2143289162195749,0.25535701285816376,0.5303140709222615,0.8983437615168883,0,1
2,Real Madrid,Espanol,0.5303140709222615,0.25535701285816376,0.2143289162195749,1.846299225624948,3,1
2,Ath Madrid,Villarreal,0.47694149089558263,0.2808638022959748,0.2421947068084426,1.7116882749827227,1,1
2,Villarreal,Ath Madrid,0.2421947068084426,0.2808638022959748,0.47694149089558263,1.0074479227213027,1,1
2,Getafe,Santander,0.42565427175214976,0.2958486815339237,0.27849704671392667,1.5728114967903728,3,1
2,Santander,Getafe,0.27849704671392667,0.2958486815339237,0.42565427175214976,1.1313398216757036,0,1
2,Elche,Barcelona,0.15954376518407573,0.17175193032071373,0.6687043044952107,0.650383225872941,0,1
2,Barcelona,Elche,0.6687043044952107,0.17175193032071373,0.15954376518407573,2.1778648438063457,3,1
2,Osasuna,Levante,0.46498502980752876,0.2701511642129827,0.2648638059794885,1.6651062536355687,1,1
2,Levante,Osasuna,0.2648638059794885,0.2701511642129827,0.46498502980752876,1.0647425821514482,1,1
2,Málaga,Deportivo,0.3304574492212984,0.22245204752967215,0.4470905032490294,1.2138243951935672,1,1
2,Deportivo,Málaga,0.4470905032490294,0.22245204752967215,0.3304574492212984,1.5637235572767603,1,1
1,Valencia,Betis,0.3366412720392633,0.2705982766980464,0.39276045126269027,1.2805220928158363,0,1
1,Betis,Valencia,0.39276045126269027,0.2705982766980464,0.3366412720392633,1.4488796304861171,3,1
1,Real Madrid,Sociedad,0.7571025238552129,0.13761423463277073,0.10528324151201622,2.4089218061984092,3,1
1,Sociedad,Real Madrid,0.10528324151201622,0.13761423463277073,0.7571025238552129,0.4534639591688194,0,1
1,Celta,Osasuna,0.5020531148371714,0.2636418341609132,0.23430505100191543,1.7698011786724275,0,1
1,Osasuna,Celta,0.23430505100191543,0.2636418341609132,0.5020531148371714,0.9665569871666595,3,1
1,Barcelona,Ath Bilbao,0.827694963596861,0.07664766474827624,0.09565737165486272,2.5597325555388593,3,1
1,Ath Bilbao,Barcelona,0.09565737165486272,0.07664766474827624,0.827694963596861,0.3636197797128644,0,1
3,Santander,Elche,0.537328779716275,0.2517223549848066,0.2109488652989184,1.8637086941336316,3,1
3,Elche,Santander,0.2109488652989184,0.2517223549848066,0.537328779716275,0.8845689508815617,0,1
3,Alaves,Villarreal,0.3524526924647013,0.2650781978110251,0.38246910972427356,1.3224362752051289,3,1
3,Villarreal,Alaves,0.38246910972427356,0.2650781978110251,0.3524526924647013,1.4124855269838457,0,1
3,Levante,Betis,0.3416775506282659,0.27242659318005663,0.3858958561916775,1.2974592450648543,3,1
3,Betis,Levante,0.3858958561916775,0.27242659318005663,0.3416775506282659,1.4301141617550892,0,1
3,Sociedad,Espanol,0.5108131791571989,0.2652633153715585,0.22392350547124257,1.7977028528431551,3,1
3,Espanol,Sociedad,0.22392350547124257,0.2652633153715585,0.5108131791571989,0.9370338317852862,0,1
3,Sevilla,Ath Madrid,0.3272010095218615,0.27103682796196327,0.4017621625161752,1.2526398565275478,0,1
3,Ath Madrid,Sevilla,0.4017621625161752,0.27103682796196327,0.3272010095218615,1.476323315510489,3,1
3,Real Madrid,Málaga,0.8104512046448231,0.11116598416943518,0.07838281118574172,2.542519598103904,3,1
3,Málaga,Real Madrid,0.07838281118574172,0.11116598416943518,0.8104512046448231,0.3463144177266604,0,1
3,Deportivo,Valencia,0.5412381959929833,0.24707772333801306,0.21168408066900363,1.8707923113169629,3,1
3,Valencia,Deportivo,0.21168408066900363,0.24707772333801306,0.5412381959929833,0.8821299653450239,0,1
3,Celta,Ath Bilbao,0.4808065732011547,0.27469688947166443,0.2444965373271808,1.7171166090751284,0,1
3,Ath Bilbao,Celta,0.2444965373271808,0.27469688947166443,0.4808065732011547,1.0081865014532068,3,1
3,Osasuna,Getafe,0.47501244161192596,0.2694873845285189,0.25550017385955515,1.6945247093642968,3,1
3,Getafe,Osasuna,0.25550017385955515,0.2694873845285189,0.47501244161192596,1.0359879061071844,0,1
3,Barcelona,Vallecano,0.8258185226075915,0.07647389925955024,0.09770757813285831,2.553929467082325,3,1
3,Vallecano,Barcelona,0.09770757813285831,0.07647389925955024,0.8258185226075915,0.3695966336581252,0,1
6,Sociedad,Celta,0.48943318077013226,0.26195430948469106,0.2486125097451766,1.7302538517950878,1,1
6,Celta,Sociedad,0.2486125097451766,0.26195430948469106,0.48943318077013226,1.007791838720221,1,1
4,Betis,Real Madrid,0.31133738735127237,0.26927239771071165,0.4193902149380159,1.2032845597645287,3,1
4,Real Madrid,Betis,0.4193902149380159,0.26927239771071165,0.31133738735127237,1.5274430425247594,0,1
