Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-24,Wolves,1.0,1.0,1,0.4,0.6,1.8,1.4,0.4,0.6,7.0,1421.1247349240482
2026-05-24,Burnley,1.0,1.0,1,0.8,0.8,2.2,1.6,0.2,0.4,6.0,1401.5313276483118
2026-05-24,West Ham,3.0,0.0,3,0.6,1.2,1.6,1.6,0.8,1.2,7.0,1480.5235314683846
2026-09-04,Ipswich,0.0,2.0,0,1.0,1.0,2.4,2.6,0.6,0.6,5.0,1431.8319514097095
2026-09-04,Liverpool,2.0,0.0,3,1.6,1.8,2.0,1.8,0.8,1.2,6.0,1572.120978536003
2026-09-05,Newcastle,2.0,2.0,1,1.6,1.8,1.2,1.4,1.6,1.6,7.0,1524.8399344248517
2026-09-05,Aston Villa,0.0,0.0,1,1.6,1.2,2.0,1.6,1.4,1.4,5.0,1549.373277572456
2026-09-05,Hull,0.0,0.0,1,0.8,0.8,2.6,2.2,1.2,1.4,7.0,1516.941793437757
2026-09-05,Bournemouth,2.0,2.0,1,1.0,1.2,1.0,1.4,1.2,0.8,7.0,1552.2457605419856
2026-09-05,Crystal Palace,3.0,2.0,3,0.8,1.4,2.6,2.4,0.2,0.8,8.0,1495.7604741503403
2026-09-05,Leeds,1.0,1.0,1,0.8,0.8,1.0,1.0,1.6,1.6,6.0,1519.5230903936315
2026-09-05,Brighton,1.0,1.0,1,2.0,1.6,1.6,1.8,1.2,0.8,6.0,1529.712224787398
2026-09-05,Fulham,2.0,3.0,0,1.0,1.4,1.2,1.6,0.8,0.8,6.0,1483.022007772556
2026-09-05,Coventry,0.0,1.0,0,0.4,0.4,1.8,1.6,0.2,0.2,7.0,1479.5314463561936
2026-09-05,Tottenham,0.0,0.0,1,0.6,0.4,1.6,1.4,0.8,0.8,7.0,1453.679826849994
2026-09-05,Nott'm Forest,0.0,0.0,1,1.2,1.0,1.6,1.4,0.6,0.6,7.0,1499.0142900839508
2026-09-05,Sunderland,1.0,1.0,1,1.4,1.6,0.8,1.0,2.0,2.0,6.0,1519.4750408341731
2026-09-05,Brentford,1.0,1.0,1,1.4,1.6,1.4,1.0,1.2,1.4,6.0,1533.477046203306
2026-09-05,Man City,1.0,0.0,3,2.2,1.8,1.0,1.0,2.0,2.0,8.0,1648.2122813379412
2026-09-06,Chelsea,1.0,2.0,0,2.2,2.2,1.8,2.0,2.0,1.8,7.0,1538.916050829345
2026-09-06,Man United,2.0,2.0,1,2.2,2.6,1.2,1.6,2.0,2.0,7.0,1578.0097244878234
2026-09-06,Everton,2.0,2.0,1,1.2,1.2,1.4,1.4,1.0,1.0,8.0,1516.5019703032815
2026-09-06,Arsenal,2.0,1.0,3,1.6,1.8,0.2,0.4,3.0,3.0,6.0,1667.281027182452
