Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-23,Pisa,1.0,2.0,0,0.4,0.4,2.2,2.2,0.0,0.0,6.0,1397.895817464401
2026-05-24,Cremonese,1.0,4.0,0,1.0,1.2,1.2,2.0,1.4,1.2,7.0,1439.7846446042406
2026-05-24,Verona,0.0,2.0,0,0.4,0.4,0.8,1.0,0.6,0.6,7.0,1405.6956172425294
2026-08-22,Cagliari,1.0,0.0,3,1.4,1.0,1.2,0.8,2.0,2.0,90.0,1490.782218756443
2026-08-22,Inter,4.0,1.0,3,2.2,2.6,1.2,1.0,1.8,2.2,91.0,1665.6554924438583
2026-08-22,Como,1.0,1.0,1,1.6,1.4,0.2,0.4,2.6,2.2,90.0,1582.715098715502
2026-08-22,Genoa,0.0,2.0,0,0.2,0.2,1.0,1.0,0.4,0.4,90.0,1475.3624926321124
2026-08-22,Napoli,2.0,0.0,3,2.0,1.6,0.6,0.6,2.0,2.0,90.0,1618.7401285569963
2026-08-23,Atalanta,2.0,1.0,3,1.2,1.2,1.4,1.0,1.0,1.6,93.0,1572.878417211491
2026-08-23,Lecce,2.0,0.0,3,1.2,1.6,0.8,0.8,2.0,2.4,91.0,1473.550406639675
2026-08-24,Lazio,1.0,0.0,3,1.4,1.0,2.0,1.4,1.4,1.8,93.0,1556.558429710043
2026-08-24,Roma,4.0,0.0,3,2.6,3.0,0.4,0.4,3.0,3.0,92.0,1607.1200222375091
2026-08-24,Bologna,0.0,1.0,0,1.4,1.4,1.4,1.2,1.6,1.6,93.0,1529.2339906162329
2026-08-28,Milan,2.0,0.0,3,1.4,1.8,1.8,1.4,1.2,1.8,5.0,1589.026839044895
2026-08-28,Venezia,0.0,2.0,0,1.0,0.8,2.0,2.2,0.8,0.6,5.0,1439.4882396234595
2026-08-29,Udinese,3.0,2.0,3,1.0,1.2,0.6,1.0,1.4,1.4,7.0,1508.150802184247
2026-08-29,Juventus,2.0,0.0,3,1.0,1.2,1.0,0.8,1.6,2.0,6.0,1609.2126688891467
2026-08-29,Torino,1.0,2.0,0,1.2,1.4,1.8,1.8,0.8,0.8,6.0,1472.935871550358
2026-08-29,Monza,2.0,3.0,0,0.8,1.2,2.8,2.6,0.6,0.6,7.0,1406.8964967815418
2026-08-29,Sassuolo,2.0,1.0,3,1.2,1.2,1.6,1.8,0.6,0.6,6.0,1488.8901170082445
2026-08-29,Frosinone,3.0,0.0,3,0.2,0.8,1.4,1.4,0.8,1.2,6.0,1478.5856788969554
2026-08-29,Parma,0.0,2.0,0,0.6,0.6,1.4,1.4,0.6,0.6,7.0,1475.4994483163446
2026-08-29,Fiorentina,0.0,3.0,0,0.6,0.6,1.8,1.6,1.0,1.0,5.0,1502.7500642559971
