Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-27,2026-08-15,Alaves,Getafe,3,0,H
2026-27,2026-08-15,Sevilla,Vallecano,2,1,H
2026-27,2026-08-16,Santander,Villarreal,2,2,D
2026-27,2026-08-16,Espanol,Levante,3,0,H
2026-27,2026-08-17,Deportivo,Elche,1,1,D
2026-27,2026-08-19,Ath Madrid,Málaga,2,0,H
2026-27,2026-08-20,Vallecano,Alaves,1,1,D
2026-27,2026-08-21,Betis,Sociedad,1,0,H
2026-27,2026-08-22,Ath Bilbao,Sevilla,1,3,A
2026-27,2026-08-22,Valencia,Celta,0,0,D
2026-27,2026-08-22,Espanol,Real Madrid,1,2,A
2026-27,2026-08-23,Ath Madrid,Villarreal,2,2,D
2026-27,2026-08-23,Getafe,Santander,1,0,H
2026-27,2026-08-23,Elche,Barcelona,0,5,A
2026-27,2026-08-24,Osasuna,Levante,0,0,D
2026-27,2026-08-24,Málaga,Deportivo,1,1,D
